"","J12_GZP5_plus","J2_WT2_minus","J28_WT_minus_B","J29_WT_plus_A","J3_WT3_minus","J31_GZP_plus_A","J32_GZP_plus_B","J4_GZP1_minus","J5_GZP2_minus","J6_GZP3_minus","J8_WT4_plus","J9_WT5_plus"
"1617.00_03239",2235,1265,1118,1699,1874,1595,1207,2742,1403,2017,2054,1873
"1617.00_03240",2622,1672,1029,1995,1719,1381,1119,2125,1288,1860,3087,3233
"1617.00_03241",2664,1595,1250,2285,2161,1694,1403,2818,1634,2389,3538,3490
"1617.00_03242",999,576,510,829,797,735,534,896,584,834,1127,1207
"1617.00_03243",7464,5725,3608,4201,6200,4327,3695,8282,4902,6694,7027,7164
"1617.00_03244",8186,10485,7071,10495,10790,8997,6344,11981,7740,10290,7953,6781
"1617.00_03245",625,483,181,293,427,278,209,618,342,404,519,626
"1617.00_03246",378,115,132,185,237,180,189,310,205,247,348,400
"1617.00_03247",5461,3907,1821,2930,2968,2809,2067,4385,2510,3684,5135,5267
"1617.00_03248",4861,1560,1281,2238,2009,1994,1840,3093,1649,2672,4974,5380
"1617.00_03249",1079,385,338,616,559,633,500,865,379,692,1341,1294
"1617.00_03250",854,314,276,523,339,420,343,596,310,504,931,881
"1617.00_03251",2239,934,921,1503,1190,1356,1028,1722,1015,1400,2253,2341
"1617.00_03252",118,45,44,77,71,69,70,119,83,87,130,125
"1617.00_03253",1054,2669,1275,1517,1686,1475,984,1986,1324,1725,1202,1038
"1617.00_03254",117,60,69,105,117,100,56,125,83,114,137,148
"1617.00_03255",58,28,25,23,38,26,15,58,31,36,55,48
"1617.00_03256",508,163,118,172,228,155,152,399,198,264,493,507
"1617.00_03257",91,34,23,58,51,48,49,79,37,51,85,93
"1617.00_03258",321,87,75,126,107,119,100,175,80,126,303,356
"1617.00_03259",437,103,97,159,154,185,137,243,135,189,391,431
"1617.00_03260",300,164,132,281,202,149,140,276,174,230,344,388
"1617.00_03261",149,235,110,182,133,146,101,173,131,140,104,125
"1617.00_03262",58,20,36,32,34,35,38,67,44,44,49,59
"1617.00_03263",114,26,22,35,50,38,29,75,41,51,129,138
"1617.00_03264",404,148,108,217,232,140,143,321,180,239,511,555
"1617.00_03265",405,142,86,107,175,111,113,255,137,194,376,456
"1617.00_03266",197,63,83,103,124,95,96,165,84,133,239,239
"1617.00_03267",179,66,66,118,122,98,64,168,100,124,208,209
"1617.00_03268",15,20,18,31,29,15,16,21,13,26,20,20
"1617.00_03269",1766,331,2236,1536,2804,2551,2315,3303,1914,2333,1338,1320
"1617.00_03270",1,1,0,2,2,2,1,5,0,6,3,4
"1617.00_03271",1585,1122,774,1323,1167,1195,947,1618,917,1260,2312,1978
"1617.00_03272",628,1201,554,656,750,598,396,786,569,694,490,446
"1617.00_03273",1129,482,519,742,749,803,592,1019,602,874,1024,1023
"1617.00_03274",1849,875,644,971,1079,988,882,1512,870,1256,1731,1871
"1617.00_03275",1350,1610,1028,1366,1502,1411,944,1888,1124,1474,1392,1219
"1617.00_03276",1515,1347,602,808,959,809,670,1309,820,1096,1322,1202
"1617.00_03277",180,60,43,67,88,77,48,132,87,98,197,192
"1617.00_03278",134,81,66,127,83,86,68,142,64,101,186,132
"1617.00_03279",395,563,251,375,369,316,226,461,320,385,327,301
"1617.00_03280",39,29,42,44,44,48,26,60,33,49,71,70
"1617.00_03281",168,56,63,86,80,88,58,120,83,92,175,168
"1617.00_03282",99,32,40,10,43,71,29,86,95,72,93,46
"1617.00_03283",302,107,260,479,372,369,331,555,275,371,493,457
"1617.00_03284",97,38,49,96,107,78,53,116,76,89,115,112
"1617.00_03285",67,43,21,57,43,37,31,72,31,47,69,70
"1617.00_03286",59,31,30,43,56,30,19,55,28,35,66,63
"1617.00_03287",164,97,67,76,108,78,65,139,83,110,183,193
"1617.00_03288",79,37,53,95,71,59,63,113,48,87,125,93
"1617.00_03289",70,36,47,67,95,78,56,121,60,84,79,99
"1617.00_03290",392,259,176,266,319,235,181,468,248,356,411,411
"1617.00_03291",8,2,1,1,2,3,3,4,3,2,6,8
"1617.00_03292",474,501,400,635,642,550,411,822,474,672,590,571
"1617.00_03293",975,551,411,992,693,792,532,1133,692,995,1150,1021
"1617.00_03294",1336,2376,1462,3746,2100,2332,1469,2543,1579,2071,2512,2432
"1617.00_03295",135,50,36,60,75,60,53,92,62,69,127,128
"1617.00_03296",78,15,41,69,67,50,53,103,45,70,74,99
"1617.00_03297",153,56,80,199,108,107,95,132,76,96,256,258
"1617.00_03298",485,188,254,198,296,560,432,335,185,263,205,183
"1617.00_03299",650,1017,494,1049,779,584,409,919,561,775,1134,1032
"1617.00_03300",1143,1121,469,493,738,678,520,861,561,846,557,596
"1617.00_03301",2987,5500,2293,2209,2996,3511,2246,3482,2385,3400,1688,1697
"1617.00_03302",773,520,276,444,515,378,292,692,398,520,818,744
"1617.00_03303",207,123,153,219,220,218,125,273,149,213,194,161
"1617.00_03304",16,8,7,9,14,12,9,12,7,3,6,9
"1617.00_03305",188,121,116,155,210,152,121,236,151,199,174,198
"1617.00_03306",197,125,120,144,153,165,109,182,121,191,162,178
"1617.00_03307",1,0,0,2,0,1,1,2,1,4,1,3
"1617.00_03308",250,101,154,233,196,198,159,237,124,220,240,248
"1617.00_03309",16,24,13,15,15,26,13,20,7,10,9,12
"1617.00_03310",158,205,118,191,212,178,127,244,139,217,161,146
"1617.00_03311",208,82,101,143,154,128,89,157,100,144,269,284
"1617.00_03312",9,5,9,3,4,5,6,7,6,6,6,6
"1617.00_03313",2,1,0,3,0,1,0,1,2,1,0,1
"1617.00_03315",0,1,1,2,1,0,0,3,2,1,1,2
"1617.00_03316",2,0,2,1,2,2,2,1,1,1,3,3
"1617.00_03317",6,10,7,10,7,3,4,9,5,6,7,2
"1617.00_03318",28,13,39,53,48,44,31,66,34,56,41,45
"1617.00_03319",32,21,16,30,34,23,17,28,23,32,41,37
"1617.00_03320",194,83,71,130,119,113,97,164,96,99,182,186
"1617.00_03321",36,28,22,29,22,25,15,26,17,33,33,36
"1617.00_03322",327,291,221,307,373,283,194,421,274,386,321,336
"1617.00_03323",11,3,7,16,8,10,9,25,6,7,15,9
"1617.00_03324",3,0,2,2,4,1,3,6,5,1,3,2
"1617.00_03325",3,1,4,7,5,5,1,4,4,3,6,3
