"","J12_GZP5_plus","J2_WT2_minus","J28_WT_minus_B","J29_WT_plus_A","J3_WT3_minus","J31_GZP_plus_A","J32_GZP_plus_B","J4_GZP1_minus","J5_GZP2_minus","J6_GZP3_minus","J8_WT4_plus","J9_WT5_plus"
"1617.00_01024",80,22,35,113,48,63,46,73,40,49,208,225
"1617.00_01025",229,89,64,258,138,123,110,194,101,140,357,442
"1617.00_01026",161,39,43,107,88,53,67,91,74,72,240,253
"1617.00_01027",1066,337,254,635,440,403,362,589,382,581,1398,1534
"1617.00_01028",324,105,90,241,154,142,104,195,109,218,382,398
"1617.00_01029",94,74,43,61,76,75,51,102,57,87,91,110
"1617.00_01030",22,18,16,18,30,24,21,33,30,30,21,23
"1617.00_01031",2,3,0,3,3,3,2,5,3,1,0,2
"1617.00_01032",2,1,1,2,1,0,0,2,0,2,0,0
"1617.00_01033",6,5,6,7,4,4,2,12,3,7,5,7
"1617.00_01034",2,1,1,4,5,5,0,6,0,5,2,0
"1617.00_01037",8,4,5,5,5,3,4,7,5,6,7,9
"1617.00_01038",1,2,2,4,2,2,2,5,3,2,6,5
"1617.00_01039",1,0,1,2,0,3,1,2,3,3,3,5
"1617.00_01040",5,0,0,3,2,4,2,6,2,3,4,6
"1617.00_01041",3,0,0,0,3,3,4,2,3,2,2,3
"1617.00_01042",3,7,1,2,2,1,0,3,1,4,2,3
"1617.00_01043",5,41,24,15,29,30,16,40,27,36,9,3
"1617.00_01044",19,57,29,14,27,33,23,36,21,30,13,8
"1617.00_01045",132,434,257,164,269,277,192,318,242,278,78,109
"1617.00_01046",21,59,15,14,23,36,21,34,25,24,5,9
"1617.00_01047",8,6,4,4,15,8,7,21,4,12,9,8
"1617.00_01048",18,15,9,11,17,23,6,26,12,11,10,15
"1617.00_01049",10,8,2,7,7,6,3,13,5,9,7,11
"1617.00_01050",10,18,15,10,23,12,8,30,20,21,13,13
"1617.00_01051",14,16,14,18,27,14,9,31,14,16,15,12
"1617.00_01052",18,77,44,13,51,54,24,60,35,41,11,12
"1617.00_01053",3,3,3,1,4,3,2,3,4,2,5,5
"1617.00_01054",1,0,5,5,11,12,6,17,9,8,7,6
"1617.00_01055",66,26,41,37,56,46,26,62,49,57,32,45
"1617.00_01056",138,87,71,74,104,67,56,129,87,99,123,123
"1617.00_01057",350,312,282,408,376,395,318,518,266,374,482,425
"1617.00_01058",182,60,45,58,89,63,51,117,70,92,175,159
"1617.00_01059",254,354,253,314,342,246,202,427,254,301,273,260
"1617.00_01060",163,41,77,91,93,99,84,157,106,108,184,209
"1617.00_01061",728,947,397,542,597,437,359,710,433,624,622,679
"1617.00_01062",1204,2694,1334,1500,1725,1299,1001,1899,1153,1624,1300,1310
"1617.00_01063",141,106,130,218,201,204,144,240,123,183,241,170
"1617.00_01064",361,129,121,189,209,156,125,315,195,236,334,349
"1617.00_01065",1085,1438,842,232,1696,835,585,1353,754,1081,476,444
"1617.00_01066",75,160,80,101,135,116,67,130,91,121,70,71
"1617.00_01067",9,15,9,8,21,14,7,14,19,15,6,10
"1617.00_01068",5,9,13,12,10,9,1,6,5,9,3,4
"1617.00_01069",56,82,53,61,75,82,45,93,67,78,42,53
"1617.00_01070",180,60,48,74,66,75,49,106,83,111,188,223
"1617.00_01071",93,29,23,45,44,34,40,65,28,53,85,112
"1617.00_01072",71,25,12,30,26,28,18,35,34,37,58,59
"1617.00_01073",206,106,75,105,102,100,86,132,57,115,215,236
"1617.00_01074",181,33,59,89,82,83,48,106,63,86,136,152
"1617.00_01075",11,7,1,5,3,4,7,10,7,5,8,13
"1617.00_01076",87,12,26,25,23,26,27,61,31,30,94,97
"1617.00_01077",409,159,153,313,261,250,157,360,236,281,422,435
"1617.00_01078",414,215,142,283,255,161,169,347,194,300,410,421
"1617.00_01079",138,51,50,90,88,63,55,151,99,95,165,158
"1617.00_01080",13,10,8,12,22,14,10,24,6,19,14,21
"1617.00_01081",11,3,4,4,13,4,3,12,5,9,18,14
"1617.00_01082",28,10,19,21,14,22,15,24,20,21,36,23
"1617.00_01083",843,598,474,623,845,576,436,1094,620,870,1149,1132
"1617.00_01084",2,7,2,7,6,3,5,8,2,6,4,3
"1617.00_01085",872,460,457,856,780,672,585,971,536,776,1199,1244
"1617.00_01086",17,11,14,13,22,12,9,19,11,12,22,14
"1617.00_01087",364,170,159,317,305,172,201,413,214,310,564,548
"1617.00_01088",389,381,209,366,325,334,290,488,271,310,328,288
"1617.00_01089",1329,550,553,593,984,570,603,1282,669,925,1773,2108
"1617.00_01090",70,48,22,45,35,35,36,59,43,58,48,53
"1617.00_01091",8,24,12,10,10,9,8,18,13,11,5,10
"1617.00_01092",25,10,17,23,13,11,12,30,11,18,11,19
"1617.00_01093",57,48,44,58,71,60,43,76,47,60,73,69
"1617.00_01094",25,12,15,24,24,27,13,45,17,23,43,52
"1617.00_01095",147,94,89,117,124,116,69,201,100,139,157,156
"1617.00_01096",307,239,214,277,325,263,157,355,228,268,278,238
"1617.00_01097",1089,617,692,927,922,934,631,1214,678,947,1407,1361
"1617.00_01098",5130,2933,1854,3469,3414,2426,1869,4679,2583,4078,6658,6344
"1617.00_01099",11918,8328,4831,8393,8316,5971,4841,11260,6748,10069,12581,12490
"1617.00_01100",1026,526,341,752,620,444,351,854,502,741,1128,1084
"1617.00_01101",27,18,7,19,11,10,15,24,13,17,30,26
"1617.00_01102",532,446,255,406,442,255,210,600,350,387,606,598
"1617.00_01103",24,33,26,24,27,31,20,38,13,20,33,31
"1617.00_01104",22,7,6,14,8,8,6,12,3,12,17,28
"1617.00_01105",16,4,3,5,7,5,7,7,6,8,9,7
"1617.00_01106",11,4,5,6,9,2,9,10,4,3,18,15
"1617.00_01107",23,10,25,15,36,24,26,38,19,32,36,22
"1617.00_01108",183,127,91,124,140,127,98,161,105,120,199,178
"1617.00_01109",5,4,2,2,4,4,2,4,1,4,3,2
"1617.00_01110",545,259,179,267,302,198,172,415,255,303,625,613
"1617.00_01111",580,270,214,329,419,306,215,535,305,429,496,576
"1617.00_01112",296,167,153,92,169,248,165,254,166,226,207,242
"1617.00_01113",2316,2748,1971,4374,2818,3942,2299,3720,2197,2843,3052,2758
"1617.00_01114",234,145,105,138,157,120,83,201,134,168,283,271
"1617.00_01115",350,116,103,181,180,171,111,238,127,173,437,501
"1617.00_01116",71,16,46,55,66,43,59,90,37,70,79,103
"1617.00_01117",154,71,70,124,100,93,106,125,95,107,171,196
"1617.00_01118",1873,420,384,740,614,598,473,981,526,759,1607,1809
"1617.00_01119",876,468,319,495,557,438,389,723,450,569,706,792
"1617.00_01120",2199,396,385,827,646,629,562,875,524,847,2005,2335
"1617.00_01121",390,246,156,199,289,167,135,379,237,282,378,395
"1617.00_01122",139,170,126,157,175,130,97,167,123,185,139,105
"1617.00_01123",535,395,189,419,320,257,198,432,253,359,638,626
"1617.00_01124",197,154,99,122,143,107,72,171,114,156,231,232
"1617.00_01125",434,369,258,304,429,350,230,478,291,332,341,348
"1617.00_01126",130,52,56,62,108,73,48,158,69,92,146,178
"1617.00_01127",235,137,84,155,171,165,104,214,155,166,221,214
"1617.00_01128",254,143,83,129,133,139,80,211,124,158,211,217
"1617.00_01129",294,215,99,131,173,123,87,220,139,206,205,271
"1617.00_01130",144,33,46,72,75,59,70,102,50,88,149,179
"1617.00_01131",691,220,149,215,233,216,171,386,225,288,610,703
"1617.00_01132",1233,439,324,453,536,463,420,847,482,656,1210,1420
"1617.00_01133",376,518,413,445,600,519,397,672,401,550,340,319
"1617.00_01134",10,42,16,14,26,27,19,24,17,21,6,7
"1617.00_01135",135,93,51,15,69,110,64,105,55,88,11,5
"1617.00_01136",56,44,34,10,57,54,30,78,45,55,20,16
"1617.00_01137",12,7,11,3,14,13,7,15,10,11,6,6
"1617.00_01138",105,47,45,28,83,74,66,79,41,69,23,27
"1617.00_01139",192,144,55,33,102,109,86,124,75,111,46,53
"1617.00_01140",153,86,70,40,79,95,66,85,60,96,37,41
"1617.00_01141",483,193,161,41,273,248,169,280,144,234,55,54
"1617.00_01142",112,35,33,1,50,54,37,62,30,38,9,6
"1617.00_01143",138,61,47,7,73,80,53,92,53,81,8,14
"1617.00_01144",479,268,147,17,247,238,176,262,153,244,31,30
"1617.00_01145",196,332,133,109,202,183,95,227,148,188,112,106
"1617.00_01146",61,99,50,10,82,62,44,68,53,56,13,13
"1617.00_01147",169,159,94,31,166,140,102,170,85,123,50,38
"1617.00_01148",441,316,135,54,264,167,112,310,199,278,87,72
"1617.00_01149",167,73,56,8,89,72,57,104,64,89,17,15
"1617.00_01150",1006,534,251,39,501,306,213,535,304,504,60,53
"1617.00_01151",801,260,141,18,360,218,153,359,225,362,22,33
"1617.00_01152",1731,1164,452,30,993,550,367,1014,675,988,66,50
"1617.00_01153",1605,3053,1321,1447,2020,1576,1106,2178,1408,1725,1252,1062
"1617.00_01154",45,22,18,2,28,28,20,46,25,46,19,14
"1617.00_01155",87,32,21,8,34,32,25,37,20,40,21,31
"1617.00_01156",239,135,88,29,114,124,95,158,84,132,60,71
"1617.00_01158",284,246,174,164,260,237,164,280,193,258,190,186
"1617.00_01159",88,108,70,81,95,86,36,104,77,88,82,63
"1617.00_01160",47,58,28,32,54,35,16,50,40,33,32,36
"1617.00_01161",26,24,6,15,9,17,6,15,13,24,18,13
"1617.00_01162",87,146,58,64,119,69,39,137,65,102,80,82
"1617.00_01163",16,27,9,12,22,7,5,16,5,13,14,12
"1617.00_01164",2,1,2,0,8,4,3,7,4,2,2,3
"1617.00_01165",132,263,128,124,187,160,89,203,144,188,89,82
"1617.00_01166",22,29,33,37,27,34,24,37,30,24,18,18
"1617.00_01167",246,243,726,816,299,735,554,277,174,214,514,540
"1617.00_01168",40,20,78,81,23,96,57,26,16,27,72,64
"1617.00_01169",34,48,126,105,44,114,87,50,42,39,48,47
"1617.00_01170",55,69,196,168,76,237,141,70,64,68,114,79
"1617.00_01171",6,1,14,16,10,10,5,6,4,7,9,9
"1617.00_01172",8,2,7,6,1,3,4,6,2,8,10,6
"1617.00_01173",44,32,62,73,61,83,41,60,31,56,63,45
"1617.00_01174",4,1,5,5,4,7,4,7,1,3,4,4
"1617.00_01175",3,4,2,5,2,3,2,8,5,5,8,4
"1617.00_01176",86,32,43,46,58,37,31,76,49,54,118,115
"1617.00_01177",68,22,25,41,41,33,30,49,38,32,66,90
"1617.00_01178",1,2,2,1,1,2,1,1,0,4,0,0
"1617.00_01179",70,34,32,44,56,56,47,64,39,58,95,86
"1617.00_01180",13,19,10,11,16,15,8,26,12,12,16,13
"1617.00_01181",19,33,19,31,48,22,13,41,26,41,18,24
"1617.00_01182",47,32,22,27,41,30,26,48,24,33,50,53
"1617.00_01183",73,48,43,30,58,48,37,71,43,48,88,94
"1617.00_01184",9,5,13,9,13,7,6,18,6,9,6,20
"1617.00_01185",9,2,5,4,11,4,1,13,5,11,1,5
"1617.00_01186",73,40,31,35,42,53,30,60,39,41,42,59
"1617.00_01187",382,387,267,344,413,394,235,508,307,426,353,337
"1617.00_01188",165,93,91,139,146,132,99,200,102,148,174,176
"1617.00_01189",32,59,42,47,58,41,30,57,36,74,34,35
"1617.00_01190",56,102,52,48,60,103,73,71,56,84,28,34
"1617.00_01191",0,1,1,2,1,1,0,5,3,3,1,0
"1617.00_01192",21,4,8,5,12,13,7,12,10,10,7,7
"1617.00_01193",102,30,52,44,44,68,61,58,46,67,47,77
"1617.00_01194",153,63,118,182,156,142,121,183,106,146,210,215
"1617.00_01195",43,7,23,30,28,26,15,37,21,37,32,32
"1617.00_01196",88,103,137,192,166,157,100,223,125,173,138,118
"1617.00_01197",22,7,15,12,25,15,12,37,18,18,31,36
"1617.00_01199",332,335,218,236,395,233,172,400,219,343,254,243
"1617.00_01200",11,3,3,5,2,4,5,11,4,7,13,9
"1617.00_01201",716,822,404,461,609,551,424,770,543,706,538,580
"1617.00_01202",258,105,72,84,122,113,84,202,108,177,235,255
"1617.00_01203",509,368,128,222,324,203,148,456,215,334,488,528
"1617.00_01204",104,213,96,86,95,148,88,149,82,120,44,64
"1617.00_01205",27,34,28,18,35,32,33,31,32,39,7,10
"1617.00_01206",68,27,26,28,43,43,23,64,34,49,70,70
"1617.00_01207",31,32,11,18,15,19,7,16,12,17,20,16
"1617.00_01208",16,5,3,10,16,10,4,13,6,12,19,11
"1617.00_01209",19,13,13,16,16,19,16,22,13,21,22,25
"1617.00_01210",23,10,4,13,12,13,10,20,9,11,21,32
"1617.00_01211",35,9,8,11,10,7,9,18,5,11,17,29
"1617.00_01212",41,20,19,26,10,21,22,33,21,16,43,45
"1617.00_01213",8,0,5,6,6,2,4,6,10,4,8,13
"1617.00_01214",16,1,6,11,5,4,6,9,1,9,8,11
"1617.00_01215",6,2,3,12,12,6,6,7,2,8,10,11
"1617.00_01216",26,12,12,14,17,9,12,9,6,13,25,30
"1617.00_01217",21,0,6,11,17,15,5,21,11,7,13,32
"1617.00_01218",33,10,11,13,14,18,8,19,18,9,32,29
"1617.00_01219",82,48,36,53,64,44,49,66,45,75,59,50
"1617.00_01220",467,222,246,478,328,367,370,558,274,371,882,994
"1617.00_01221",31,19,12,38,37,29,17,38,18,23,37,22
"1617.00_01222",77,121,56,95,92,91,54,140,69,61,67,57
"1617.00_01223",17,14,9,18,16,11,7,17,12,14,10,10
"1617.00_01224",432,375,236,340,361,329,253,487,292,389,388,358
"1617.00_01225",173,163,63,106,103,88,46,141,79,117,153,142
"1617.00_01226",110,48,32,53,54,39,40,78,53,51,154,146
"1617.00_01227",82,20,19,38,45,34,31,73,28,50,81,106
"1617.00_01228",6,9,4,5,9,11,7,16,7,9,20,7
"1617.00_01229",34,24,28,31,43,34,27,42,31,30,40,34
"1617.00_01230",3,3,9,6,6,1,2,8,3,8,3,2
"1617.00_01231",16,18,6,15,9,17,7,17,18,10,14,11
"1617.00_01232",1910,1380,861,2142,1634,1116,904,2110,1326,1766,3042,3344
"1617.00_01233",1009,1806,881,6049,1276,1172,806,1235,846,1121,4391,3921
"1617.00_01234",239,124,229,386,409,501,364,609,294,391,513,233
"1617.00_01235",31,42,78,98,116,129,121,163,66,112,152,80
"1617.00_01237",196,82,56,77,119,94,105,185,102,119,209,236
"1617.00_01238",35,13,16,26,32,18,27,49,18,30,47,51
"1617.00_01239",115,52,55,55,61,48,41,92,58,66,149,138
"1617.00_01240",180,61,54,94,103,91,79,122,74,99,188,196
"1617.00_01241",563,201,172,204,252,228,181,363,203,313,627,692
"1617.00_01242",7567,4232,3298,6084,5687,3911,3712,7035,4129,6074,8086,8663
"1617.00_01243",2403,1947,1932,3117,2968,2362,1737,3158,1996,2672,3029,2376
"1617.00_01244",140,61,84,135,127,104,81,178,103,139,211,235
"1617.00_01245",54,21,26,36,38,19,23,54,28,43,55,67
"1617.00_01246",14,10,12,16,16,13,15,20,12,19,17,16
"1617.00_01247",71,39,40,26,55,44,18,65,26,48,54,61
"1617.00_01248",299,159,113,175,167,106,90,221,131,166,320,344
"1617.00_01249",514,292,212,368,330,280,252,434,215,321,574,630
"1617.00_01250",1122,375,414,789,606,531,431,748,445,622,1468,1617
"1617.00_01251",1939,1461,811,1251,1563,980,834,1967,1108,1649,2156,2237
"1617.00_01252",24,39,38,51,44,54,35,62,36,49,42,42
"1617.00_01253",66,11,26,28,38,26,28,58,25,44,63,64
"1617.00_01254",49,21,15,25,45,28,26,40,27,32,52,42
"1617.00_01255",96,35,27,52,65,68,42,78,53,57,117,102
"1617.00_01256",91,24,29,51,57,56,56,72,33,65,83,111
"1617.00_01257",565,378,231,412,421,354,229,556,290,414,521,522
"1617.00_01258",6,2,1,6,4,2,2,6,7,6,6,7
"1617.00_01259",5,8,2,8,5,5,5,6,3,7,6,5
"1617.00_01260",1,1,0,1,1,3,2,1,0,2,5,3
"1617.00_01261",2,0,2,2,2,0,1,3,2,3,3,5
"1617.00_01262",34,10,9,11,16,21,26,25,18,18,25,28
"1617.00_01263",1753,644,571,971,880,700,619,1194,734,1024,1837,1965
"1617.00_01264",313,184,194,265,299,261,204,429,202,283,379,350
"1617.00_01265",39,18,46,69,80,62,42,97,57,71,71,55
"1617.00_01266",36,24,18,27,37,22,18,44,39,30,40,42
"1617.00_01267",204,68,75,87,128,104,119,204,88,128,176,199
"1617.00_01268",1155,586,426,592,646,652,403,865,490,667,909,968
"1617.00_01269",204,160,97,108,157,120,90,195,107,168,180,161
"1617.00_01270",93,33,38,49,82,51,54,91,54,66,57,97
"1617.00_01271",82,23,33,53,65,52,31,84,42,51,79,82
"1617.00_01272",47,45,27,53,42,55,32,59,40,56,53,69
"1617.00_01273",5349,6679,3399,5364,5984,4127,3239,7516,4358,6352,6506,5994
"1617.00_01274",210,112,98,122,178,154,99,214,158,206,169,189
"1617.00_01275",162,73,83,89,92,87,60,126,66,110,178,179
"1617.00_01276",57,19,24,27,47,40,38,56,31,58,68,52
"1617.00_01277",139,66,69,81,113,70,57,154,54,95,162,150
"1617.00_01278",8,8,5,3,13,10,6,12,8,9,10,9
"1617.00_01279",176,99,91,151,181,134,100,214,126,160,199,193
"1617.00_01280",119,93,87,117,122,101,86,149,83,113,103,103
"1617.00_01281",2940,2505,1368,1908,2573,1674,1348,3604,2019,2650,3272,3281
"1617.00_01282",315,122,140,212,200,285,213,328,229,256,252,287
"1617.00_01283",144,58,79,98,129,103,68,150,82,129,193,182
"1617.00_01284",16,12,12,26,29,20,12,30,12,20,26,23
"1617.00_01285",2,3,2,0,3,3,1,3,3,2,3,2
"1617.00_01286",5209,3230,1701,5326,3140,2158,1768,4190,2219,3620,9631,9905
"1617.00_01287",828,326,255,622,477,343,282,648,370,486,1152,1342
"1617.00_01288",266,152,250,201,239,357,193,320,193,242,173,173
"1617.00_01289",3,5,7,10,9,8,2,4,0,8,9,5
"1617.00_01290",57,97,52,59,58,69,36,98,49,70,78,49
"1617.00_01291",11,24,13,9,14,10,3,21,10,10,15,8
"1617.00_01292",1638,639,829,1747,1309,1178,860,1620,930,1379,2101,2070
"1617.00_01293",508,379,335,606,542,402,277,554,356,590,663,590
"1617.00_01294",10,37,13,28,16,17,18,16,23,20,6,16
"1617.00_01295",27,49,26,25,37,54,22,41,27,42,25,19
"1617.00_01296",7,26,7,3,12,12,3,12,14,10,8,13
"1617.00_01297",11,10,9,17,20,18,8,23,10,22,8,7
"1617.00_01298",7,43,12,18,13,20,10,22,22,25,7,15
"1617.00_01299",10066,12822,8282,10194,10716,13115,8714,14083,9561,12916,9124,8513
"1617.00_01300",500,207,216,304,315,240,226,441,276,327,539,574
"1617.00_01301",1048,306,311,472,504,441,423,718,376,598,1177,1406
"1617.00_01302",167,34,66,83,96,58,87,118,59,83,166,162
"1617.00_01303",137,12,30,56,42,50,49,80,31,70,149,179
"1617.00_01304",314,78,90,144,104,122,122,188,98,122,267,321
"1617.00_01305",63,13,22,27,36,26,30,54,25,31,72,93
"1617.00_01306",353,221,166,254,279,185,182,346,219,320,266,308
"1617.00_01307",295,94,74,29,96,91,77,170,94,173,59,83
"1617.00_01308",264,69,59,43,111,92,95,172,116,139,103,113
"1617.00_01309",1,3,1,1,0,2,0,2,0,0,2,0
"1617.00_01310",135,238,191,89,239,180,103,215,172,195,68,62
"1617.00_01311",5,6,3,4,8,6,5,4,4,2,4,4
"1617.00_01312",4,5,0,2,1,0,4,3,1,4,6,2
"1617.00_01313",40,44,20,17,25,24,18,38,20,36,32,41
"1617.00_01314",26,10,5,9,12,4,3,11,8,13,27,30
"1617.00_01315",137,122,154,88,178,259,171,229,117,157,87,77
"1617.00_01316",1,2,5,7,4,4,1,4,2,4,6,6
"1617.00_01317",1,1,2,4,3,4,3,5,4,3,3,1
"1617.00_01318",4,1,1,1,2,4,0,4,0,1,1,1
"1617.00_01319",2,1,2,3,1,0,2,5,1,2,1,1
"1617.00_01321",8,0,5,6,3,6,6,5,6,10,5,7
"1617.00_01322",47,79,51,63,71,80,39,94,52,51,42,58
"1617.00_01323",108,60,61,118,110,83,78,121,75,114,125,107
"1617.00_01324",741,654,409,483,692,531,395,858,543,713,593,614
"1617.00_01325",286,248,195,201,305,249,179,348,232,325,231,204
"1617.00_01326",182,167,119,106,183,185,102,204,133,196,116,126
"1617.00_01327",208,61,65,126,108,103,85,143,95,126,208,244
"1617.00_01328",271,149,91,173,141,139,116,230,125,172,304,322
"1617.00_01329",507,194,281,551,422,391,294,569,297,437,676,713
"1617.00_01330",325,68,106,128,138,156,120,169,134,166,261,351
"1617.00_01331",1293,739,524,571,738,672,488,964,560,787,1122,1225
"1617.00_01332",2521,1084,751,1273,1260,1135,779,1721,1102,1502,2654,2577
"1617.00_01333",141,58,58,77,91,99,67,141,73,104,131,152
"1617.00_01334",223,341,303,248,351,331,236,422,255,383,215,172
"1617.00_01335",91,35,35,58,48,39,42,73,34,63,120,149
"1617.00_01336",302,94,82,165,170,133,120,243,127,177,443,498
"1617.00_01337",158,86,68,174,92,105,81,142,58,109,244,253
"1617.00_01338",7,4,1,1,3,3,2,4,1,4,9,4
"1617.00_01339",11,9,4,10,18,13,9,19,6,11,16,21
"1617.00_01340",4,3,5,0,6,5,5,5,2,4,9,4
"1617.00_01341",43,16,17,19,17,24,13,37,17,27,25,34
"1617.00_01342",116,44,60,92,104,104,83,125,92,110,120,135
"1617.00_01343",17,2,8,10,11,7,8,12,4,7,15,15
"1617.00_01344",23,7,22,19,24,12,28,44,15,27,46,44
"1617.00_01345",64,18,27,27,35,21,13,45,33,43,59,72
"1617.00_01346",62,158,59,81,119,94,49,114,80,95,68,69
"1617.00_01347",36,24,17,35,28,20,20,44,25,37,50,39
"1617.00_01348",117,137,71,144,78,167,94,138,89,99,106,89
"1617.00_01349",34,22,14,27,18,19,6,31,15,30,27,15
"1617.00_01350",34,6,12,10,12,18,14,24,11,17,23,24
"1617.00_01351",38,7,12,21,25,15,17,23,16,18,30,30
"1617.00_01352",61,25,31,22,32,21,34,41,40,32,53,43
"1617.00_01353",60,85,54,42,86,50,32,79,42,99,52,57
"1617.00_01354",110,47,35,61,66,71,38,101,53,89,96,105
"1617.00_01355",83,42,38,50,46,32,37,59,55,62,75,78
"1617.00_01356",399,224,205,213,348,261,207,414,235,326,370,406
"1617.00_01357",261,262,189,198,273,275,163,354,205,226,267,276
"1617.00_01358",467,228,222,326,370,311,241,453,277,362,474,600
"1617.00_01359",282,189,298,308,332,334,189,377,197,302,257,291
"1617.00_01360",5590,9076,7401,7779,8119,10357,5929,10788,6273,6942,5209,4940
"1617.00_01361",245,129,125,148,179,166,153,276,146,174,239,271
"1617.00_01362",186,105,83,108,129,93,105,187,123,153,200,232
"1617.00_01363",163,88,104,119,145,131,118,193,107,157,186,189
"1617.00_01364",226,104,112,150,178,168,145,274,122,207,217,243
"1617.00_01365",397,173,215,260,341,290,220,439,269,343,368,349
"1617.00_01366",200,98,104,111,182,142,119,276,125,173,232,245
"1617.00_01367",386,206,166,205,257,222,185,386,212,287,355,439
"1617.00_01368",584,446,271,367,446,411,275,561,336,439,468,491
"1617.00_01369",536,444,256,291,391,363,262,527,263,417,452,456
"1617.00_01370",858,578,419,581,686,630,410,952,528,718,882,798
"1617.00_01371",1914,800,537,679,987,837,605,1422,767,1195,1872,1925
"1617.00_01372",5241,2245,2694,2550,4395,3639,2475,4914,3026,4235,4241,4527
"1617.00_01373",361,222,222,224,376,278,224,453,268,358,389,398
"1617.00_01374",2175,1173,766,1039,1283,1095,918,1913,1122,1561,1895,2119
"1617.00_01375",73,39,30,27,53,57,33,71,39,57,58,71
"1617.00_01376",56,44,45,69,59,52,46,84,41,59,90,87
"1617.00_01377",175,71,54,121,110,75,61,126,86,79,228,213
"1617.00_01378",167,112,107,164,185,149,93,205,122,190,205,207
"1617.00_01379",480,378,226,272,380,258,161,519,256,369,414,422
"1617.00_01380",11,10,10,10,7,12,11,19,5,9,11,13
"1617.00_01381",23,11,11,23,29,17,16,17,15,22,29,27
"1617.00_01382",3,5,1,0,1,2,0,0,0,2,0,1
"1617.00_01383",221,138,70,129,141,100,82,217,109,153,284,258
"1617.00_01384",66,56,37,40,54,30,30,55,32,42,67,82
"1617.00_01385",82,69,54,82,71,70,52,84,56,74,87,101
"1617.00_01386",241,165,222,448,318,290,196,365,193,325,335,312
"1617.00_01387",401,176,135,207,267,181,148,395,220,312,452,575
"1617.00_01388",4140,1129,803,1341,1354,1154,896,2114,1198,1645,5194,5907
"1617.00_01389",1993,606,432,708,695,643,519,1017,497,763,2652,2882
"1617.00_01390",4230,1257,894,1617,1456,1381,1212,2136,1251,1800,4572,5017
"1617.00_01391",37,34,31,43,28,31,20,46,20,32,52,45
"1617.00_01392",4576,1530,1392,2076,2232,1986,1839,3101,1698,2331,4669,4854
"1617.00_01393",623,663,389,359,709,469,355,760,457,632,394,403
"1617.00_01394",681,523,183,255,339,202,167,521,309,458,674,613
"1617.00_01395",691,342,211,275,418,273,218,580,312,485,661,642
"1617.00_01396",389,312,117,260,315,250,166,367,275,365,304,339
"1617.00_01397",143,82,50,87,92,88,77,134,63,85,146,154
"1617.00_01398",424,255,256,691,429,376,277,535,315,430,783,823
"1617.00_01399",521,312,261,421,453,353,297,582,383,495,548,589
"1617.00_01400",1192,1069,739,1277,1236,1095,829,1579,925,1274,1305,1295
"1617.00_01401",353,182,68,130,143,105,86,233,130,190,317,355
"1617.00_01402",218,59,89,176,118,104,101,214,103,176,273,258
"1617.00_01403",93,62,50,107,80,93,47,116,64,105,132,117
"1617.00_01404",209,98,86,128,138,136,95,176,114,144,181,184
"1617.00_01405",545,345,279,453,531,376,326,700,404,586,592,598
"1617.00_01406",434,565,316,352,484,433,305,551,379,483,429,404
"1617.00_01407",167,161,154,145,221,191,131,286,152,261,168,132
"1617.00_01408",268,120,97,187,182,120,91,268,159,185,417,391
"1617.00_01409",146,68,49,85,102,75,66,123,73,98,174,186
"1617.00_01410",129,205,112,102,145,148,91,151,123,166,73,58
"1617.00_01411",30,33,10,22,30,23,20,22,24,33,14,9
"1617.00_01412",16,50,10,13,20,23,16,31,17,28,23,12
"1617.00_01413",240,205,149,238,262,199,106,237,165,201,219,182
"1617.00_01414",22,23,18,15,31,18,13,26,13,19,12,21
"1617.00_01415",32,52,34,22,38,28,17,54,44,46,14,23
"1617.00_01416",82,24,24,28,45,33,21,46,35,39,89,98
"1617.00_01417",596,194,220,262,365,263,254,513,278,389,655,777
"1617.00_01418",269,96,112,180,219,191,114,295,190,221,275,299
"1617.00_01419",2759,2229,1782,2546,2910,2049,1585,3452,2079,2842,2752,2540
"1617.00_01420",2620,3202,1862,2773,2720,2392,1623,2908,2019,2516,2707,2649
"1617.00_01421",46,16,20,31,42,32,29,56,27,48,35,64
"1617.00_01422",112,54,51,65,81,75,64,146,63,96,120,131
"1617.00_01423",434,287,190,355,316,332,259,447,240,335,446,514
"1617.00_01424",2037,2045,1147,1972,1973,1494,1095,2603,1475,1982,2794,2641
"1617.00_01425",108,63,36,83,81,70,66,111,57,86,140,174
"1617.00_01426",102,38,38,70,67,62,63,89,57,84,134,148
"1617.00_01427",88,25,33,62,72,64,53,107,44,75,96,105
"1617.00_01428",326,107,144,178,223,172,164,297,158,222,366,356
"1617.00_01429",466,372,364,596,508,459,323,608,345,540,563,506
"1617.00_01430",1468,1079,1104,2023,1785,1629,1166,2273,1391,1767,1869,1722
"1617.00_01431",125,44,38,81,72,96,63,113,83,101,104,97
"1617.00_01432",113,36,30,51,63,49,40,73,39,73,108,118
"1617.00_01433",290,172,154,292,252,215,152,382,182,273,417,449
"1617.00_01434",350,237,157,262,300,232,181,326,200,307,317,296
"1617.00_01435",643,327,228,311,442,296,246,546,323,400,580,641
"1617.00_01436",176,104,67,114,164,125,93,176,114,174,156,157
"1617.00_01437",1651,2579,1507,1930,2255,1583,1179,2671,1563,1976,1838,1623
