"","J12_GZP5_plus","J2_WT2_minus","J28_WT_minus_B","J29_WT_plus_A","J3_WT3_minus","J31_GZP_plus_A","J32_GZP_plus_B","J4_GZP1_minus","J5_GZP2_minus","J6_GZP3_minus","J8_WT4_plus","J9_WT5_plus"
"1617.00_02733",409.37,272.11,288.03,350.36,331,278.24,326.76,312.44,303.75,334.96,445.63,440.39
"1617.00_02734",267.12,140.83,165.65,211.24,162.66,179.4,227,198.03,203.32,187.47,298.07,297.99
"1617.00_02735",209.61,164.7,135.81,162.81,172.12,137.51,140.25,181.16,167.8,168.82,211.01,190.83
"1617.00_02736",264.84,427.26,253.7,201.97,309.25,230.97,258.8,280.9,281.7,310.98,185.93,173.95
"1617.00_02737",350.35,258.98,262.66,196.82,333.84,246.01,316.64,348.38,344.17,390.05,194.78,199.64
"1617.00_02738",15.13,14.32,19.4,19.58,14.19,17.19,13.01,13.2,19.6,16.88,16.97,19.08
"1617.00_02739",9.84,16.71,10.45,14.43,14.19,15.04,18.8,8.07,12.25,12.44,2.95,11.01
"1617.00_02740",9.08,4.77,7.46,4.12,10.4,6.45,5.78,10.27,3.67,8.89,8.85,2.94
"1617.00_02741",24.21,8.35,16.42,14.43,12.29,13.97,10.12,11,15.92,15.99,15.49,13.95
"1617.00_02742",49.19,53.71,61.19,35.04,52.96,66.61,59.28,35.2,51.44,40.87,23.61,20.55
"1617.00_02743",1.51,9.55,4.48,0,3.78,7.52,2.89,5.13,3.67,5.33,0.74,3.67
"1617.00_02744",15.89,42.97,40.29,37.1,34.05,41.9,33.25,27.87,39.19,37.32,20.66,12.48
"1617.00_02745",1.51,2.39,0,1.03,1.89,3.22,1.45,4.4,2.45,1.78,2.95,0.73
"1617.00_02746",0.76,1.19,4.48,3.09,2.84,2.15,4.34,0,4.9,0.89,3.69,1.47
"1617.00_02747",0.76,0,1.49,2.06,2.84,0,2.89,2.2,2.45,2.67,1.48,6.61
"1617.00_02748",0.76,0,2.98,3.09,1.89,5.37,2.89,2.93,3.67,0.89,0.74,2.2
"1617.00_02749",34.05,32.22,49.25,48.43,39.72,60.16,40.48,42.54,34.29,26.66,30.99,22.75
"1617.00_02750",1408.98,1026.39,962.58,1202.55,1225.66,1020.56,1056.91,1274.69,1190.51,1193.26,1618.74,1632.36
"1617.00_02751",800.59,440.39,610.38,704.84,597.7,680.02,574,677.69,623.43,677.04,786.5,817.65
"1617.00_02752",1219.8,830.66,708.88,903.71,819.94,712.25,776.41,935.12,896.56,927.59,1287.47,1274.18
"1617.00_02753",27.24,20.29,28.36,34.01,24.59,23.63,26.03,26.4,19.6,30.21,26.56,32.29
"1617.00_02754",38.59,65.64,40.29,35.04,45.39,50.49,39.04,43.27,25.72,39.09,26.56,29.36
"1617.00_02755",869.45,377.14,340.26,416.31,320.6,426.49,485.8,365.98,390.71,454.91,469.98,474.88
"1617.00_02756",674.98,229.15,313.4,328.72,261.02,304.02,399.05,312.44,255.98,322.53,407.27,442.59
"1617.00_02757",226.25,68.03,138.79,151.48,97.41,111.72,131.57,115.88,107.78,111.95,149.77,173.95
"1617.00_02758",18.92,23.87,10.45,11.34,13.24,20.41,11.57,10.27,17.15,21.32,6.64,14.68
"1617.00_02759",295.87,162.31,173.12,123.66,146.59,180.48,177.84,192.89,213.12,175.92,157.15,208.45
"1617.00_02760",265.6,147.99,161.18,166.93,168.34,206.26,205.31,213.43,143.3,190.14,219.13,226.06
"1617.00_02761",153.61,165.89,134.31,178.27,156.04,148.25,154.7,175.29,151.88,159.93,182.24,170.28
"1617.00_02762",45.4,29.84,49.25,31.94,58.63,46.19,46.27,48.41,66.14,38.21,56.07,61.65
"1617.00_02763",5.3,4.77,7.46,6.18,1.89,3.22,5.78,4.4,2.45,5.33,5.16,8.07
"1617.00_02765",0.76,0,2.98,1.03,2.84,0,0,1.47,1.22,0.89,2.95,1.47
"1617.00_02768",0.76,1.19,0,0,2.84,0,1.45,3.67,1.22,0.89,2.21,0.73
"1617.00_02769",26.48,28.64,20.89,19.58,25.53,42.97,30.36,33,39.19,19.55,10.33,25.69
"1617.00_02770",109.72,137.25,113.42,81.41,108.76,98.83,78.08,106.35,90.64,105.73,107.72,117.44
"1617.00_02771",102.15,114.57,74.62,89.65,108.76,94.54,88.2,106.35,109.01,86.18,78.21,54.31
"1617.00_02772",40.11,20.29,34.32,34.01,34.05,36.53,28.92,45.47,33.07,29.32,50.91,61.65
"1617.00_02773",2372.25,2293.86,1719.22,2454.56,1961.43,1672.65,1669.94,2089.53,2045.42,2139.51,2657.57,2592.4
"1617.00_02774",2.27,1.19,4.48,1.03,2.84,0,1.45,2.93,1.22,1.78,2.21,1.47
"1617.00_02775",0.76,4.77,0,1.03,2.84,1.07,2.89,1.47,0,1.78,2.95,1.47
"1617.00_02777",40.86,37,49.25,39.16,43.5,48.34,39.04,43.27,42.87,48.87,33.94,35.23
"1617.00_02778",82.48,261.37,138.79,227.73,116.32,172.96,140.25,115.88,131.05,84.41,92.96,87.34
"1617.00_02779",96.86,53.71,89.54,88.62,82.28,94.54,117.11,105.61,83.29,66.64,118.79,89.55
"1617.00_02780",164.96,112.19,138.79,152.51,109.7,126.76,137.35,121.02,109.01,117.28,236.84,257.63
"1617.00_02781",1581.5,1762.76,1304.34,1349.9,1237.95,1253.68,1298.36,1376.64,1286.04,1260.78,2168.41,2237.89
"1617.00_02782",248.2,200.5,238.78,178.27,180.63,183.7,264.59,184.82,181.27,163.48,350.46,400.75
"1617.00_02783",1609.5,984.62,817.82,753.27,649.71,835.79,975.94,806.04,732.43,725.02,2286.46,2243.76
"1617.00_02784",335.22,213.63,399.96,238.04,323.44,388.89,390.38,330.04,289.05,290.54,374.81,460.2
"1617.00_02785",46.16,71.61,55.22,36.07,45.39,61.23,67.95,45.47,50.22,55.98,22.13,31.56
"1617.00_02786",94.59,68.03,79.1,78.32,69.98,67.68,47.71,95.35,68.59,68.41,123.21,123.31
"1617.00_02787",129.4,171.86,211.92,233.91,182.53,218.08,192.3,189.22,191.07,207.02,178.55,160.74
"1617.00_02788",470.67,235.11,343.25,328.72,347.08,320.13,349.89,393.12,328.25,340.3,432.35,528.46
"1617.00_02789",72.64,76.38,98.5,110.26,117.27,87.02,101.21,114.41,88.19,120.84,80.42,80.74
"1617.00_02790",386.67,189.76,225.35,245.25,261.02,208.41,231.33,258.9,282.93,253.22,322.42,318.55
"1617.00_02791",42.38,16.71,22.39,18.55,17.02,26.86,33.25,29.34,28.17,38.21,42.79,34.5
"1617.00_02792",4438.04,9979.84,10248.14,17919.72,9473.33,9803.85,8595.49,7556.49,8494.02,7245.72,7113.18,6220.44
"1617.00_02793",101.4,105.03,91.03,86.56,109.7,78.42,88.2,113.68,96.76,96.85,92.96,101.29
"1617.00_02794",12.11,32.22,19.4,19.58,12.29,19.34,17.35,13.94,7.35,14.22,7.38,5.87
"1617.00_02795",230.04,198.12,137.3,164.87,182.53,162.22,153.26,168.69,189.84,208.8,187.4,209.92
"1617.00_02796",37.83,19.1,35.82,57.71,36.88,49.42,31.81,34.47,50.22,39.98,40.58,35.96
"1617.00_02797",421.48,430.84,411.9,448.25,435.03,339.47,333.99,456.19,378.46,390.05,451.54,455.06
"1617.00_02798",244.41,107.41,134.31,155.6,169.28,162.22,176.39,186.29,189.84,183.92,269.3,291.39
"1617.00_02799",96.1,37,58.2,58.74,69.98,78.42,98.32,88.74,82.06,59.53,109.2,131.38
"1617.00_02800",223.98,144.41,170.13,141.17,137.13,131.06,154.7,151.82,148.2,168.82,253.07,253.96
"1617.00_02801",18.92,51.32,22.39,25.76,18.91,25.78,21.69,27.87,22.05,21.32,14.76,13.21
"1617.00_02802",407.1,451.13,367.12,346.23,366,353.44,347,359.38,351.52,312.75,344.56,294.32
"1617.00_02803",451.75,661.19,379.06,462.68,420.85,336.25,305.07,420.25,382.14,395.38,467.77,465.34
"1617.00_02804",272.41,244.66,317.88,278.22,314.93,280.39,267.48,301.44,293.95,308.31,295.12,284.78
"1617.00_02805",287.55,189.76,194.01,313.26,202.39,215.93,247.24,229.56,192.29,238.12,455.23,459.47
"1617.00_02806",397.27,300.76,495.47,523.47,456.79,427.56,461.22,423.19,459.3,408.71,419.81,407.36
"1617.00_02807",15.13,2.39,5.97,25.76,11.35,6.45,7.23,17.6,15.92,12.44,19.18,29.36
"1617.00_02808",439.64,859.3,782,733.69,715.91,587.63,565.32,743.69,777.75,699.25,509.82,445.52
"1617.00_02809",55.24,31.03,32.83,96.86,36.88,121.39,125.79,40.34,28.17,24.88,71.57,74.87
"1617.00_02810",33.29,56.09,40.29,38.13,46.34,32.23,15.9,41.07,33.07,43.54,44.27,44.77
"1617.00_02811",107.45,38.19,79.1,28.85,70.93,85.94,78.08,68.94,100.43,87.07,33.2,30.83
"1617.00_02812",131.67,62.06,111.93,103.05,114.43,111.72,141.69,119.55,120.03,132.39,133.54,128.45
"1617.00_02813",147.56,269.73,150.73,131.9,130.51,195.52,173.5,123.95,171.47,185.7,61.98,63.12
"1617.00_02814",947.39,288.82,501.44,678.04,407.61,676.79,871.84,510.46,520.54,589.08,525.32,608.47
"1617.00_02815",225.5,79.96,123.87,162.81,86.06,178.33,182.18,142.28,99.21,147.49,166.01,135.79
"1617.00_02816",1094.19,667.15,749.17,934.63,724.43,1015.19,1123.41,858.11,815.72,752.56,838.88,915.27
"1617.00_02817",236.09,668.35,567.1,147.36,450.17,296.5,254.47,388.72,417.66,438.92,163.79,189.37
"1617.00_02818",34.81,101.45,56.71,22.67,64.31,56.94,37.59,63.81,46.54,50.64,16.97,27.16
"1617.00_02819",9.84,14.32,34.32,5.15,28.37,11.82,14.46,19.07,23.27,10.66,5.16,10.28
"1617.00_02820",23.46,38.19,80.59,8.24,59.58,29.01,20.24,42.54,35.52,26.66,14.02,13.21
"1617.00_02821",20.43,21.48,55.22,28.85,44.45,22.56,33.25,39.61,46.54,22.21,22.13,20.55
"1617.00_02822",9.84,16.71,23.88,8.24,27.43,15.04,11.57,15.4,20.82,14.22,10.33,12.48
"1617.00_02823",17.4,50.13,46.26,15.46,35.94,27.93,21.69,39.61,39.19,26.66,19.18,22.75
"1617.00_02824",135.45,60.87,85.07,107.17,81.33,93.46,127.23,108.55,97.98,80.85,172.65,193.77
"1617.00_02825",246.68,315.08,235.8,211.24,240.21,283.61,232.78,238.36,270.68,215.02,205.85,179.82
"1617.00_02826",79.45,84.74,79.1,43.28,91.74,80.57,91.09,69.68,69.81,85.3,48.7,61.65
"1617.00_02827",18.16,17.9,16.42,8.24,33.1,26.86,15.9,16.87,15.92,17.77,11.07,11.74
"1617.00_02828",2.27,2.39,1.49,2.06,0.95,1.07,1.45,2.93,1.22,0.89,3.69,1.47
"1617.00_02829",0.76,7.16,8.95,0,2.84,5.37,1.45,2.93,0,2.67,8.85,5.87
"1617.00_02830",1.51,1.19,1.49,0,2.84,1.07,1.45,0,2.45,1.78,0,1.47
"1617.00_02832",5.3,11.93,13.43,6.18,10.4,9.67,10.12,10.27,13.47,6.22,5.9,5.87
"1617.00_02833",5.3,8.35,5.97,5.15,4.73,7.52,4.34,4.4,11.02,6.22,7.38,12.48
"1617.00_02834",12.86,19.1,22.39,10.3,13.24,20.41,13.01,16.14,7.35,17.77,12.54,16.15
"1617.00_02835",7.57,5.97,5.97,3.09,6.62,10.74,8.68,2.93,7.35,7.11,7.38,7.34
"1617.00_02836",17.4,13.13,11.94,17.52,13.24,6.45,10.12,11.73,9.8,15.99,14.02,19.08
"1617.00_02837",51.46,35.8,20.89,29.88,35.94,34.38,26.03,30.8,29.4,30.21,39.1,38.9
